안전조직수준,위원회수준,인증보유,위험성평가수준,교육훈련도움,정리정돈상태,작업중지권,작업반장기여,전문지도,고용노동부감독,안전보건공단지원,공사규모,발주처,기성공정률,공사종류,외국인비율,사고발생,신체위험,차량위험,인당관리비,현장특성
1,0,0,2,5,4,4,4,0,0,0,1,1,6,7,0.0,0,2,1,0.00047071428571428573,1
2,2,0,2,5,5,5,5,0,0,0,2,2,1,6,0.0,0,3,1,0.005,1
2,2,1,2,3,3,2,2,0,1,1,3,2,6,3,20.0,1,2,3,0.00118549,1
2,2,0,2,5,5,5,5,0,1,1,1,2,4,4,40.0,0,1,2,0.00033468,1
2,2,0,2,5,5,5,5,0,0,0,1,2,3,1,60.0,1,3,3,0.0004484,1
2,2,0,2,4,5,5,3,0,0,1,2,1,2,1,0.0,0,2,4,0.00224265,1
2,2,1,2,5,5,5,4,1,1,1,3,2,4,3,10.0,1,2,3,0.02857142285714286,1
2,2,0,2,3,5,3,5,0,0,0,2,2,4,3,0.0,0,2,2,0.4999999,1
2,2,1,2,4,5,5,5,1,0,0,2,2,1,4,37.5,1,3,2,0.001,1
2,2,1,2,5,4,5,4,0,0,1,2,1,4,1,9.8,0,3,3,0.0004836274509803922,1
2,2,0,2,4,4,4,4,1,1,1,2,2,6,4,3.33,0,3,3,0.00033246666666666665,1
2,2,0,2,4,4,4,4,1,0,0,2,2,2,4,50.0,0,2,2,0.3333332666666667,1
2,2,1,2,5,4,5,5,0,0,1,3,1,1,5,10.0,0,1,3,0.00956385,1
2,1,0,0,5,5,5,5,0,0,0,1,2,5,4,0.0,0,2,1,2.6600000000000003e-05,2
2,2,0,2,4,3,4,4,0,0,0,1,2,3,3,43.48,0,2,2,0.08695650434782609,1
2,2,0,2,3,4,5,3,1,1,1,3,3,5,1,24.55,1,3,3,0.0012975818181818182,1
2,2,1,2,5,5,5,5,0,0,1,2,1,6,6,0.0,0,4,1,0.0017327272727272727,1
2,2,0,0,4,4,4,4,0,0,0,2,1,1,7,0.0,0,3,2,0.0035905,1
2,2,1,2,4,5,5,3,0,0,1,3,1,1,5,0.0,0,2,2,0.0081504,1
2,2,0,2,5,4,4,4,0,1,1,1,1,3,4,0.0,1,2,2,0.19999996,1
2,2,0,2,5,5,5,5,0,0,1,2,2,2,3,15.0,0,2,4,0.0015968,1
2,1,0,2,5,4,5,5,1,0,0,2,2,2,3,20.0,0,2,1,0.00078,1
1,0,0,1,4,3,3,4,1,1,1,1,2,2,3,40.0,0,1,3,0.6666665333333334,1
2,2,1,2,5,3,4,2,1,1,1,3,1,6,1,27.91,1,2,4,0.0008372093023255813,1
1,2,0,2,4,4,4,5,1,1,1,1,2,6,3,35.71,0,2,1,0.0008571428571428571,1
1,0,0,0,5,3,3,4,1,1,1,1,2,2,1,0.0,0,1,2,1.5e-05,1
2,1,1,2,4,4,4,4,0,0,1,2,1,2,5,0.0,0,2,2,0.00275,1
2,2,1,2,4,4,4,4,0,0,0,2,3,3,3,4.96,1,3,3,0.00041476859504132235,1
1,0,0,2,4,4,4,4,0,0,1,2,2,2,3,0.0,0,2,2,0.8333331666666667,1
2,2,0,2,3,4,5,3,0,1,1,3,2,3,1,23.08,1,2,3,0.03846153076923077,1
2,2,0,2,5,3,4,4,0,0,1,3,2,1,4,60.0,1,3,4,0.003336,1
2,2,0,2,5,5,5,4,1,1,1,2,2,1,1,0.0,0,3,3,0.00224,1
2,2,1,2,3,5,4,4,0,0,0,2,1,1,7,0.0,0,3,3,0.0031,1
