순위,변수명,mean_abs_SHAP
1,기성률_1,0.59631467
2,기성률_2,0.33502874
3,공사금액_1,0.22899269
4,인당관리비,0.22570884
5,외국인비율,0.19152814
6,공사종류_6,0.17523783
7,발주처_정부,0.16030243
8,안전보건공단지원,0.15857378
9,현장_원청,0.15351194
10,인증보유,0.14182606
11,신체위험,0.13216387
12,차량위험,0.12900318
13,공사종류_5,0.11909428
14,교육훈련도움,0.11739101
15,안전조직수준,0.11452827
16,전문지도,0.10081982
17,기성률_5,0.0824332
18,기성률_6,0.06517544
19,발주처_자체,0.06361981
20,공사금액_3,0.051968005
21,공사종류_4,0.05164584
22,작업반장기여,0.05107755
23,고용노동부감독,0.047493555
24,공사종류_3,0.04183153
25,작업중지권,0.039911512
26,정리정돈상태,0.03707626
27,위원회수준,0.03454064
28,공사종류_1,0.03340891
29,위험성평가수준,0.026012884
30,공사종류_2,0.012490663
31,현장_하도급,0.004842032
32,기성률_4,0.0015875094
33,현장_기타,0.0
