,Coef.,Std.Err.,z,P>|z|,Sig,OR,OR_Lower,OR_Upper
const,-1.2934,0.727,-1.7791,0.0752,,0.2743,0.066,1.1405
안전조직수준,-0.0661,0.1536,-0.4305,0.6668,,0.936,0.6927,1.2648
위원회수준,-0.0459,0.1129,-0.4067,0.6842,,0.9551,0.7655,1.1917
인증보유,-0.13,0.1611,-0.8072,0.4195,,0.8781,0.6403,1.204
위험성평가수준,0.0632,0.1319,0.4794,0.6316,,1.0653,0.8226,1.3796
교육훈련도움,0.0612,0.1156,0.5289,0.5969,,1.0631,0.8475,1.3335
정리정돈상태,-0.2227,0.1119,-1.9904,0.0465,*,0.8004,0.6428,0.9966
작업중지권,0.0763,0.1085,0.7032,0.4819,,1.0793,0.8725,1.335
작업반장기여,-0.0675,0.1032,-0.6542,0.513,,0.9347,0.7636,1.1442
전문지도,-0.1074,0.1423,-0.7548,0.4504,,0.8981,0.6795,1.1871
고용노동부감독,0.1157,0.147,0.7868,0.4314,,1.1226,0.8416,1.4974
안전보건공단지원,0.2069,0.1978,1.0457,0.2957,,1.2298,0.8345,1.8123
공사종류_1,1.595,0.4414,3.6133,0.0003,***,4.9282,2.0747,11.7064
공사종류_2,1.7035,0.5133,3.3187,0.0009,***,5.4932,2.0086,15.0227
공사종류_3,1.7098,0.4487,3.8102,0.0001,***,5.5278,2.294,13.3206
공사종류_4,1.7853,0.439,4.0665,0.0,***,5.9611,2.5214,14.0934
공사종류_5,0.586,0.487,1.2033,0.2288,,1.7968,0.6918,4.667
공사종류_6,0.9349,0.4699,1.9898,0.0466,*,2.547,1.0141,6.397
기성률_1,-2.385,0.3251,-7.3355,0.0,***,0.0921,0.0487,0.1742
기성률_2,-0.8804,0.1949,-4.5169,0.0,***,0.4146,0.283,0.6075
기성률_4,0.2511,0.208,1.2075,0.2273,,1.2854,0.8551,1.9323
기성률_5,-0.3656,0.2224,-1.6441,0.1002,,0.6937,0.4486,1.0728
기성률_6,0.0605,0.2328,0.26,0.7949,,1.0624,0.6731,1.6768
공사규모_1,-0.7675,0.1852,-4.1443,0.0,***,0.4642,0.3229,0.6673
공사규모_3,0.4675,0.1835,2.5476,0.0108,*,1.596,1.1139,2.2868
발주처_정부,-0.1656,0.1867,-0.8869,0.3752,,0.8474,0.5876,1.2219
발주처_자체,-0.0188,0.2203,-0.0855,0.9319,,0.9813,0.6372,1.5113
외국인비율,0.0048,0.0037,1.301,0.1933,,1.0048,0.9976,1.0121
