,Coef.,P>|z|,Sig,OR
안전조직수준x전문지도,-0.2156,0.4991,,0.8061
안전조직수준x고용노동부감독,0.2799,0.3703,,1.323
안전조직수준x안전보건공단지원,0.1416,0.7385,,1.1521
위원회수준x전문지도,-0.1736,0.4469,,0.8407
위원회수준x고용노동부감독,-0.4453,0.072,,0.6407
위원회수준x안전보건공단지원,0.2261,0.4365,,1.2537
인증보유x전문지도,0.3145,0.342,,1.3695
인증보유x고용노동부감독,0.8474,0.0132,*,2.3335
인증보유x안전보건공단지원,-0.369,0.4335,,0.6914
위험성평가수준x전문지도,-0.3164,0.2649,,0.7288
위험성평가수준x고용노동부감독,-0.5367,0.0889,,0.5847
위험성평가수준x안전보건공단지원,0.5464,0.1117,,1.727
교육훈련도움x전문지도,-0.0042,0.9872,,0.9958
교육훈련도움x고용노동부감독,-0.2059,0.4306,,0.8139
교육훈련도움x안전보건공단지원,0.189,0.5759,,1.208
정리정돈상태x전문지도,0.3547,0.1409,,1.4258
정리정돈상태x고용노동부감독,0.2666,0.2776,,1.3055
정리정돈상태x안전보건공단지원,0.1339,0.6751,,1.1433
작업중지권x전문지도,0.2676,0.2489,,1.3069
작업중지권x고용노동부감독,0.1269,0.6057,,1.1353
작업중지권x안전보건공단지원,-0.3937,0.2378,,0.6746
작업반장기여x전문지도,-0.3609,0.0953,,0.697
작업반장기여x고용노동부감독,-0.2038,0.3697,,0.8156
작업반장기여x안전보건공단지원,0.1612,0.6329,,1.1749
